name,version,api-level,revision,description,obsolete,windowsSize,windowsSHA1,windowsURL,macosxSize,macosxSHA1,macosxURL,linuxSize,linuxSHA1,linuxURL
Android SDK Build-tools,,,18.0.1,"Android SDK Build-tools, revision 18.0.1",true,15413527,a6c2afd0b6289d589351956d2f5212b37014ca7d,https://dl.google.com/android/repository/build-tools_r18.0.1-windows.zip,16633121,d84f5692fb44d60fc53e5b2507cebf9f24626902,https://dl.google.com/android/repository/build-tools_r18.0.1-macosx.zip,16627330,f11618492b0d2270c332325d45d752d3656a9640,https://dl.google.com/android/repository/build-tools_r18.0.1-linux.zip
Android SDK Build-tools,,,17,"Android SDK Build-tools, revision 17",true,11004914,899897d327b0bad492d3a40d3db4d96119c15bc0,https://dl.google.com/android/repository/build-tools_r17-windows.zip,12208114,602ee709be9dbb8f179b1e4075148a57f9419930,https://dl.google.com/android/repository/build-tools_r17-macosx.zip,11696007,2c2872bc3806aabf16a12e3959c2183ddc866e6d,https://dl.google.com/android/repository/build-tools_r17-linux.zip
Android SDK Tools,,,25.2.5,"Tools, revision 25.2.5",false,306785944,a7f7ebeae1c8d8f62d3a8466e9c81baee7cc31ca,https://dl.google.com/android/repository/tools_r25.2.5-windows.zip,200529982,d2168d963ac5b616e3d3ddaf21511d084baf3659,https://dl.google.com/android/repository/tools_r25.2.5-macosx.zip,277894900,72df3aa1988c0a9003ccdfd7a13a7b8bd0f47fc1,https://dl.google.com/android/repository/tools_r25.2.5-linux.zip
Documentation for Android SDK,,24,1,"Documentation for Android SDK, API 24, revision 1",false,419477967,eef58238949ee9544876cb3e002f2d58e4ee7b5d,https://dl.google.com/android/repository/docs-24_r01.zip,419477967,eef58238949ee9544876cb3e002f2d58e4ee7b5d,https://dl.google.com/android/repository/docs-24_r01.zip,419477967,eef58238949ee9544876cb3e002f2d58e4ee7b5d,https://dl.google.com/android/repository/docs-24_r01.zip
Sources for Android SDK,,25,1,"Sources for Android SDK, API 25, revision 1",false,30822685,bbc72efd1a9bad87cc507e308f0d29aad438c52c,https://dl.google.com/android/repository/sources-25_r01.zip,30822685,bbc72efd1a9bad87cc507e308f0d29aad438c52c,https://dl.google.com/android/repository/sources-25_r01.zip,30822685,bbc72efd1a9bad87cc507e308f0d29aad438c52c,https://dl.google.com/android/repository/sources-25_r01.zip
Sources for Android SDK,,24,1,"Sources for Android SDK, API 24, revision 1",false,30270410,6b96115830a83d654479f32ce4b724ca9011148b,https://dl.google.com/android/repository/sources-24_r01.zip,30270410,6b96115830a83d654479f32ce4b724ca9011148b,https://dl.google.com/android/repository/sources-24_r01.zip,30270410,6b96115830a83d654479f32ce4b724ca9011148b,https://dl.google.com/android/repository/sources-24_r01.zip
Sources for Android SDK,,23,1,"Sources for Android SDK, API 23, revision 1",false,31771965,b0f15da2762b42f543c5e364c2b15b198cc99cc2,https://dl.google.com/android/repository/sources-23_r01.zip,31771965,b0f15da2762b42f543c5e364c2b15b198cc99cc2,https://dl.google.com/android/repository/sources-23_r01.zip,31771965,b0f15da2762b42f543c5e364c2b15b198cc99cc2,https://dl.google.com/android/repository/sources-23_r01.zip
Sources for Android SDK,,22,1,"Sources for Android SDK, API 22, revision 1",false,28861236,98320e13976d11597a4a730a8d203ac9a03ed5a6,https://dl.google.com/android/repository/sources-22_r01.zip,28861236,98320e13976d11597a4a730a8d203ac9a03ed5a6,https://dl.google.com/android/repository/sources-22_r01.zip,28861236,98320e13976d11597a4a730a8d203ac9a03ed5a6,https://dl.google.com/android/repository/sources-22_r01.zip
Sources for Android SDK,,21,1,"Sources for Android SDK, API 21, revision 1",false,28274751,137a5044915d32bea297a8c1552684802bbc2e25,https://dl.google.com/android/repository/sources-21_r01.zip,28274751,137a5044915d32bea297a8c1552684802bbc2e25,https://dl.google.com/android/repository/sources-21_r01.zip,28274751,137a5044915d32bea297a8c1552684802bbc2e25,https://dl.google.com/android/repository/sources-21_r01.zip
Sources for Android SDK,,20,1,"Sources for Android SDK, API 20, revision 1",false,23367603,8da3e40f2625f9f7ef38b7e403f49f67226c0d76,https://dl.google.com/android/repository/sources-20_r01.zip,23367603,8da3e40f2625f9f7ef38b7e403f49f67226c0d76,https://dl.google.com/android/repository/sources-20_r01.zip,23367603,8da3e40f2625f9f7ef38b7e403f49f67226c0d76,https://dl.google.com/android/repository/sources-20_r01.zip
